model_id,n_concepts,activation,method,divergence,error,sign_agreement,spec_ratio,trace_abs_diff
12,17,sigmoid,similarity,1.089413,6.654109e-02,0.488971,0.553288,0.000000e+00
12,17,sigmoid,perturbation,1.087757,3.442583e-02,0.738971,0.143377,0.000000e+00
12,17,sigmoid,rewiring,1.401008,8.833472e-02,0.500000,0.110540,0.000000e+00
12,17,tanh,proposal,0.202787,2.681390e-03,0.959559,0.046854,0.000000e+00
12,17,tanh,similarity,1.089413,3.688966e-01,0.488971,0.553288,0.000000e+00
12,17,tanh,perturbation,0.202090,2.651623e-01,0.966912,0.062012,0.000000e+00
12,17,tanh,rewiring,1.401008,7.296807e-01,0.500000,0.110540,0.000000e+00
13,18,sigmoid,proposal,1.039475,3.448544e-04,0.771242,0.134847,0.000000e+00
13,18,sigmoid,similarity,1.174195,5.870012e-02,0.506536,0.391512,0.000000e+00
13,18,sigmoid,perturbation,1.039435,4.363444e-02,0.741830,0.276017,0.000000e+00
13,18,sigmoid,rewiring,1.381959,6.699977e-02,0.516340,0.228565,0.000000e+00
13,18,tanh,proposal,0.231442,2.184245e-03,0.964052,0.024646,0.000000e+00
13,18,tanh,similarity,1.174195,5.687069e-01,0.506536,0.391512,0.000000e+00
13,18,tanh,perturbation,0.231494,4.589692e-01,0.937908,0.090780,0.000000e+00
13,18,tanh,rewiring,1.381959,7.223936e-01,0.516340,0.228565,0.000000e+00
14,19,sigmoid,proposal,1.134480,2.357365e-04,0.807018,0.130344,0.000000e+00
14,19,sigmoid,similarity,1.172127,6.821138e-02,0.491228,0.424085,0.000000e+00
14,19,sigmoid,perturbation,1.134888,6.561760e-02,0.701754,0.379964,0.000000e+00
14,19,sigmoid,rewiring,1.416331,8.553280e-02,0.491228,0.121120,0.000000e+00
14,19,tanh,proposal,0.776419,3.773912e-02,0.771930,0.160695,0.000000e+00
14,19,tanh,similarity,1.172127,6.305073e-01,0.491228,0.424085,0.000000e+00
14,19,tanh,perturbation,0.776475,7.418055e-01,0.780702,0.233958,0.000000e+00
14,19,tanh,rewiring,1.416331,7.033367e-01,0.491228,0.121120,0.000000e+00
15,20,sigmoid,proposal,0.946755,3.566154e-04,0.781579,0.106936,0.000000e+00
15,20,sigmoid,similarity,1.098385,4.027348e-02,0.494737,0.534167,0.000000e+00
15,20,sigmoid,perturbation,0.946879,3.568738e-02,0.736842,0.259603,0.000000e+00
15,20,sigmoid,rewiring,1.445179,5.447363e-02,0.489474,0.104433,0.000000e+00
15,20,tanh,proposal,0.162038,2.931139e-03,0.957895,0.036705,0.000000e+00
15,20,tanh,similarity,1.098385,3.791352e-01,0.494737,0.534167,0.000000e+00
15,20,tanh,perturbation,0.161461,1.814674e-01,0.965789,0.054633,0.000000e+00
15,20,tanh,rewiring,1.445179,6.747846e-01,0.489474,0.104433,0.000000e+00
16,5,sigmoid,proposal,1.795567,9.544860e-04,0.350000,0.745279,0.000000e+00
16,5,sigmoid,similarity,1.040976,1.730680e-02,0.650000,0.204239,0.000000e+00
16,5,sigmoid,perturbation,1.537917,3.248518e-02,0.650000,0.271287,0.000000e+00
16,5,sigmoid,rewiring,1.450431,2.300002e-02,0.400000,0.106818,0.000000e+00
16,5,tanh,proposal,0.560133,2.091276e-03,0.950000,0.058419,0.000000e+00
16,5,tanh,similarity,1.040976,4.680789e-02,0.650000,0.204239,0.000000e+00
16,5,tanh,perturbation,0.559714,4.378303e-02,0.800000,0.321671,0.000000e+00
16,5,tanh,rewiring,1.450431,6.258377e-02,0.400000,0.106818,0.000000e+00
17,6,sigmoid,proposal,1.344102,9.573214e-04,0.600000,0.248978,0.000000e+00
17,6,sigmoid,similarity,1.062919,3.659044e-02,0.533333,0.423613,0.000000e+00
17,6,sigmoid,perturbation,1.344737,4.864706e-02,0.633333,0.254787,0.000000e+00
17,6,sigmoid,rewiring,1.138393,1.843691e-02,0.666667,0.260058,0.000000e+00
17,6,tanh,proposal,0.553336,2.385874e-03,0.900000,0.065754,0.000000e+00
17,6,tanh,similarity,1.062919,3.760579e-01,0.533333,0.423613,0.000000e+00
17,6,tanh,perturbation,0.553222,9.621711e-02,0.866667,0.180775,0.000000e+00
17,6,tanh,rewiring,1.138393,5.236601e-01,0.666667,0.260058,0.000000e+00
