model_id,n_concepts,activation,t_alpha,rho,divergence,error,sign_agreement
8,13,sigmoid,15,10.0,2.218870,1.189285e-03,0.365385
8,13,sigmoid,15,1000.0,1.019687,4.552646e-05,0.762821
8,13,sigmoid,20,10.0,2.228385,1.053653e-03,0.352564
8,13,sigmoid,20,1000.0,1.021529,4.572104e-05,0.762821
8,13,tanh,1,10.0,0.732584,1.087340e-02,0.839744
8,13,tanh,1,1000.0,0.166791,4.096543e-04,0.961538
8,13,tanh,3,10.0,0.913616,1.605787e-02,0.692308
8,13,tanh,3,1000.0,0.178069,3.922710e-04,0.955128
8,13,tanh,5,10.0,0.941387,1.195314e-02,0.724359
8,13,tanh,5,1000.0,0.183203,3.774698e-04,0.948718
8,13,tanh,10,10.0,1.231890,2.015193e-02,0.673077
8,13,tanh,10,1000.0,0.806254,1.622131e-02,0.788462
8,13,tanh,15,10.0,1.147332,1.311639e-02,0.717949
8,13,tanh,15,1000.0,0.865340,1.138129e-02,0.769231
8,13,tanh,20,10.0,1.431037,1.890340e-02,0.500000
8,13,tanh,20,1000.0,1.121209,1.110282e-02,0.666667
9,14,sigmoid,1,10.0,1.906288,1.708970e-03,0.505495
9,14,sigmoid,1,1000.0,0.723945,5.807433e-05,0.917582
9,14,sigmoid,3,10.0,2.189754,1.175322e-03,0.357143
9,14,sigmoid,3,1000.0,0.929120,4.835467e-05,0.835165
9,14,sigmoid,5,10.0,2.223185,1.308561e-03,0.368132
9,14,sigmoid,5,1000.0,0.976660,4.221979e-05,0.840659
9,14,sigmoid,10,10.0,2.194783,1.212628e-03,0.368132
9,14,sigmoid,10,1000.0,0.982927,4.378186e-05,0.835165
9,14,sigmoid,15,10.0,2.216915,1.219843e-03,0.357143
9,14,sigmoid,15,1000.0,0.981193,4.358780e-05,0.835165
9,14,sigmoid,20,10.0,2.219202,1.239171e-03,0.357143
9,14,sigmoid,20,1000.0,0.982295,4.369928e-05,0.835165
9,14,tanh,1,10.0,0.734622,1.363418e-02,0.862637
9,14,tanh,1,1000.0,0.146722,4.526799e-04,0.983516
9,14,tanh,3,10.0,0.943165,2.234663e-02,0.747253
9,14,tanh,3,1000.0,0.141265,4.362883e-04,0.972527
9,14,tanh,5,10.0,1.208269,2.675788e-02,0.626374
9,14,tanh,5,1000.0,0.899629,2.173914e-02,0.752747
9,14,tanh,10,10.0,1.387753,2.711659e-02,0.571429
9,14,tanh,10,1000.0,0.960283,2.254070e-02,0.708791
9,14,tanh,15,10.0,1.293351,2.045515e-02,0.571429
9,14,tanh,15,1000.0,1.128423,2.155845e-02,0.642857
9,14,tanh,20,10.0,1.442836,1.433275e-02,0.543956
9,14,tanh,20,1000.0,1.329210,1.341475e-02,0.565934
10,15,sigmoid,1,10.0,1.919581,1.954408e-03,0.466667
10,15,sigmoid,1,1000.0,0.659491,5.450590e-05,0.919048
10,15,sigmoid,3,10.0,2.140081,1.265500e-03,0.361905
10,15,sigmoid,3,1000.0,0.844242,4.116577e-05,0.847619
10,15,sigmoid,5,10.0,2.121526,1.048105e-03,0.385714
10,15,sigmoid,5,1000.0,0.897084,4.072883e-05,0.809524
10,15,sigmoid,10,10.0,2.133417,1.228705e-03,0.361905
10,15,sigmoid,10,1000.0,0.895974,4.439083e-05,0.809524
10,15,sigmoid,15,10.0,2.150668,1.051597e-03,0.371429
10,15,sigmoid,15,1000.0,0.892579,4.343974e-05,0.795238
10,15,sigmoid,20,10.0,2.169338,7.275338e-04,0.333333
