model_id,n_concepts,activation,metric,steps_mode,t_alpha,rho,divergence,divergence_abs,error,sign_agreement,n_iter,seconds,success
0,5,tanh,spectral,last,20,10.0,1.890740,5.129206,7.851397e-03,0.250000,435,0.1991,1
0,5,tanh,spectral,last,20,100.0,1.759561,4.773342,6.179692e-03,0.300000,503,0.2445,1
0,5,tanh,spectral,last,20,1000.0,1.718528,4.662028,3.177888e-02,0.500000,207,0.0936,1
0,5,tanh,spectral,last,20,10000.0,0.396758,1.076327,4.116333e-04,0.950000,382,0.2031,1
1,6,sigmoid,frobenius,all,1,1.0,2.127815,7.283584,5.162701e-03,0.333333,16,0.0211,1
1,6,sigmoid,frobenius,all,1,10.0,2.072538,7.094369,2.372972e-03,0.300000,67,0.0383,1
1,6,sigmoid,frobenius,all,1,100.0,1.450794,4.966116,6.888364e-04,0.600000,205,0.1360,1
1,6,sigmoid,frobenius,all,1,1000.0,0.810551,2.774544,1.453111e-04,0.866667,264,0.1546,1
1,6,sigmoid,frobenius,all,1,10000.0,0.438606,1.501362,3.616616e-05,0.966667,213,0.1158,1
1,6,sigmoid,frobenius,half,10,1.0,2.152573,7.368331,4.708641e-03,0.300000,33,0.0264,1
1,6,sigmoid,frobenius,half,10,10.0,2.039879,6.982574,1.061439e-03,0.333333,72,0.0425,1
1,6,sigmoid,frobenius,half,10,100.0,1.870811,6.403849,4.989361e-04,0.433333,236,0.1396,1
1,6,sigmoid,frobenius,half,10,1000.0,1.112145,3.806911,1.136302e-04,0.766667,321,0.1681,1
1,6,sigmoid,frobenius,half,10,10000.0,0.620905,2.125378,2.217222e-05,0.933333,350,0.2047,1
1,6,sigmoid,frobenius,last,20,1.0,2.152575,7.368339,4.708712e-03,0.300000,33,0.0273,1
1,6,sigmoid,frobenius,last,20,10.0,2.039877,6.982570,1.061381e-03,0.333333,71,0.0410,1
1,6,sigmoid,frobenius,last,20,100.0,1.870785,6.403761,4.988955e-04,0.433333,256,0.1537,1
1,6,sigmoid,frobenius,last,20,1000.0,1.112170,3.806998,1.136341e-04,0.766667,359,0.1861,1
1,6,sigmoid,frobenius,last,20,10000.0,0.620904,2.125377,2.217219e-05,0.933333,314,0.1684,1
