model_id,n_concepts,activation,phi,rho,divergence,error,sign_agreement
6,11,tanh,0.8,1000.0,0.188270,4.204352e-04,0.990909
6,11,tanh,0.9,10.0,0.754820,9.654162e-03,0.836364
6,11,tanh,0.9,1000.0,0.172108,4.788798e-04,0.981818
6,11,tanh,1.0,10.0,0.689600,1.262586e-02,0.881818
6,11,tanh,1.0,1000.0,0.135974,6.311909e-04,0.990909
7,12,sigmoid,0.2,10.0,2.330690,1.725824e-03,0.295455
7,12,sigmoid,0.2,1000.0,0.812368,7.245230e-05,0.901515
7,12,sigmoid,0.4,10.0,2.094327,2.273881e-03,0.401515
7,12,sigmoid,0.4,1000.0,0.636392,8.214746e-05,0.924242
7,12,sigmoid,0.6,10.0,2.024789,2.530558e-03,0.393939
7,12,sigmoid,0.6,1000.0,0.633926,8.847644e-05,0.931818
7,12,sigmoid,0.8,10.0,2.011811,2.283937e-03,0.424242
7,12,sigmoid,0.8,1000.0,0.640361,8.996481e-05,0.924242
7,12,sigmoid,0.9,10.0,2.059611,2.319709e-03,0.416667
7,12,sigmoid,0.9,1000.0,0.674216,1.063580e-04,0.916667
7,12,sigmoid,1.0,10.0,2.033625,2.455026e-03,0.401515
7,12,sigmoid,1.0,1000.0,0.637734,1.133745e-04,0.924242
7,12,tanh,0.2,10.0,1.550954,3.237335e-03,0.583333
7,12,tanh,0.2,1000.0,0.641300,1.213374e-04,0.946970
7,12,tanh,0.4,10.0,1.264315,4.624121e-03,0.681818
7,12,tanh,0.4,1000.0,0.441189,1.345831e-04,0.939394
7,12,tanh,0.6,10.0,1.143680,5.970810e-03,0.704545
7,12,tanh,0.6,1000.0,0.315943,2.767045e-04,0.924242
7,12,tanh,0.8,10.0,1.013154,9.291928e-03,0.719697
7,12,tanh,0.8,1000.0,0.206842,3.261174e-04,0.962121
7,12,tanh,0.9,10.0,0.968859,1.322096e-02,0.727273
7,12,tanh,0.9,1000.0,0.178670,4.209183e-04,0.977273
7,12,tanh,1.0,10.0,0.796039,1.063552e-02,0.848485
7,12,tanh,1.0,1000.0,0.153191,4.544906e-04,0.969697
8,13,sigmoid,0.2,10.0,2.254715,1.303010e-03,0.365385
8,13,sigmoid,0.2,1000.0,0.934420,5.539166e-05,0.858974
8,13,sigmoid,0.4,10.0,2.087230,2.075480e-03,0.416667
8,13,sigmoid,0.4,1000.0,0.741063,6.671356e-05,0.916667
8,13,sigmoid,0.6,10.0,2.010366,2.167909e-03,0.423077
8,13,sigmoid,0.6,1000.0,0.747668,8.113316e-05,0.903846
8,13,sigmoid,0.8,10.0,2.045540,2.072503e-03,0.410256
8,13,sigmoid,0.8,1000.0,0.718216,8.164775e-05,0.903846
8,13,sigmoid,0.9,10.0,2.056901,1.998745e-03,0.448718
8,13,sigmoid,0.9,1000.0,0.724013,8.269460e-05,0.891026
8,13,sigmoid,1.0,10.0,2.016366,1.998715e-03,0.461538
8,13,sigmoid,1.0,1000.0,0.654424,7.543672e-05,0.903846
8,13,tanh,0.2,10.0,1.534281,2.093071e-03,0.666667
8,13,tanh,0.2,1000.0,0.718346,6.385518e-05,0.923077
8,13,tanh,0.4,10.0,1.271378,2.777075e-03,0.737179
8,13,tanh,0.4,1000.0,0.501182,1.357215e-04,0.948718
8,13,tanh,0.6,10.0,1.082814,5.165605e-03,0.750000
8,13,tanh,0.6,1000.0,0.315781,1.988439e-04,0.948718
8,13,tanh,0.8,10.0,0.732584,1.087340e-02,0.839744
8,13,tanh,0.8,1000.0,0.166791,4.096543e-04,0.961538
8,13,tanh,0.9,10.0,0.561782,1.735651e-02,0.846154
8,13,tanh,0.9,1000.0,0.105966,6.206930e-04,0.980769
8,13,tanh,1.0,10.0,0.422357,2.795141e-02,0.852564
8,13,tanh,1.0,1000.0,0.091478,9.362773e-04,0.980769
9,14,sigmoid,0.2,10.0,2.207059,1.342658e-03,0.362637
9,14,sigmoid,0.2,1000.0,0.913007,4.667603e-05,0.895604
9,14,sigmoid,0.4,10.0,1.956450,1.814889e-03,0.494505
9,14,sigmoid,0.4,1000.0,0.731140,5.132093e-05,0.928571
9,14,sigmoid,0.6,10.0,1.887773,1.854665e-03,0.521978
9,14,sigmoid,0.6,1000.0,0.710430,5.850065e-05,0.928571
9,14,sigmoid,0.8,10.0,1.906288,1.708970e-03,0.505495
9,14,sigmoid,0.8,1000.0,0.723945,5.807433e-05,0.917582
9,14,sigmoid,0.9,10.0,1.963331,1.754575e-03,0.478022
9,14,sigmoid,0.9,1000.0,0.719583,5.663901e-05,0.923077
9,14,sigmoid,1.0,10.0,1.934223,1.783742e-03,0.483516
9,14,sigmoid,1.0,1000.0,0.680508,4.956275e-05,0.934066
9,14,tanh,0.2,10.0,1.438951,1.241083e-03,0.714286
9,14,tanh,0.2,1000.0,0.640166,8.245954e-05,0.972527
9,14,tanh,0.4,10.0,1.257268,2.870849e-03,0.758242
9,14,tanh,0.4,1000.0,0.491760,1.071385e-04,0.961538
9,14,tanh,0.6,10.0,1.085803,4.546117e-03,0.774725
9,14,tanh,0.6,1000.0,0.311374,2.092841e-04,0.967033
9,14,tanh,0.8,10.0,0.734622,1.363418e-02,0.862637
9,14,tanh,0.8,1000.0,0.146722,4.526799e-04,0.983516
9,14,tanh,0.9,10.0,0.505788,4.411824e-02,0.934066
9,14,tanh,0.9,1000.0,0.083051,7.722432e-04,0.989011
9,14,tanh,1.0,10.0,0.606712,8.703852e-02,0.840659
9,14,tanh,1.0,1000.0,0.493953,8.911797e-02,0.868132
10,15,sigmoid,0.2,10.0,2.220628,1.429025e-03,0.323810
10,15,sigmoid,0.2,1000.0,0.775480,4.307464e-05,0.895238
10,15,sigmoid,0.4,10.0,1.918182,1.887576e-03,0.438095
10,15,sigmoid,0.4,1000.0,0.654805,4.706000e-05,0.928571
10,15,sigmoid,0.6,10.0,1.859395,2.046797e-03,0.466667
10,15,sigmoid,0.6,1000.0,0.624155,4.322585e-05,0.923810
10,15,sigmoid,0.8,10.0,1.919581,1.954408e-03,0.466667
10,15,sigmoid,0.8,1000.0,0.659491,5.450590e-05,0.919048
10,15,sigmoid,0.9,10.0,1.950692,2.002562e-03,0.414286
10,15,sigmoid,0.9,1000.0,0.633348,4.878521e-05,0.933333
10,15,sigmoid,1.0,10.0,1.966464,2.168200e-03,0.419048
10,15,sigmoid,1.0,1000.0,0.641311,6.050736e-05,0.919048
10,15,tanh,0.2,10.0,1.451654,2.141914e-03,0.680952
10,15,tanh,0.2,1000.0,0.683811,8.552392e-05,0.928571
10,15,tanh,0.4,10.0,1.169867,2.848567e-03,0.738095
10,15,tanh,0.4,1000.0,0.448842,5.317659e-05,0.957143
10,15,tanh,0.6,10.0,0.929992,4.944657e-03,0.800000
10,15,tanh,0.6,1000.0,0.240844,2.068304e-04,0.976190
10,15,tanh,0.8,10.0,0.631280,1.209191e-02,0.857143
10,15,tanh,0.8,1000.0,0.122919,4.928981e-04,0.985714
10,15,tanh,0.9,10.0,0.468680,1.642026e-02,0.866667
10,15,tanh,0.9,1000.0,0.095940,6.068013e-04,1.000000
10,15,tanh,1.0,10.0,0.517747,7.070875e-02,0.847619
10,15,tanh,1.0,1000.0,0.065475,8.145642e-04,0.990476
11,16,sigmoid,0.2,10.0,2.237937,1.276142e-03,0.362500
11,16,sigmoid,0.2,1000.0,0.816465,5.167146e-05,0.908333
11,16,sigmoid,0.4,10.0,1.955525,1.674580e-03,0.466667
11,16,sigmoid,0.4,1000.0,0.677776,6.796552e-05,0.912500
11,16,sigmoid,0.6,10.0,1.892625,1.641428e-03,0.491667
11,16,sigmoid,0.6,1000.0,0.657108,7.168662e-05,0.895833
11,16,sigmoid,0.8,10.0,1.975488,1.693836e-03,0.445833
11,16,sigmoid,0.8,1000.0,0.685380,8.158285e-05,0.912500
11,16,sigmoid,0.9,10.0,1.967507,1.611027e-03,0.458333
11,16,sigmoid,0.9,1000.0,0.657507,7.336369e-05,0.900000
11,16,sigmoid,1.0,10.0,1.984975,1.807367e-03,0.433333
11,16,sigmoid,1.0,1000.0,0.625416,7.333784e-05,0.904167
11,16,tanh,0.2,10.0,1.583185,1.691823e-03,0.629167
11,16,tanh,0.2,1000.0,0.714926,6.612596e-04,0.916667
11,16,tanh,0.4,10.0,1.289040,2.556882e-03,0.729167
11,16,tanh,0.4,1000.0,0.418573,7.939868e-05,0.954167
11,16,tanh,0.6,10.0,0.981052,4.836953e-03,0.783333
11,16,tanh,0.6,1000.0,0.243400,2.559933e-04,0.970833
11,16,tanh,0.8,10.0,0.757475,1.201091e-02,0.791667
11,16,tanh,0.8,1000.0,0.143565,4.203686e-04,0.979167
11,16,tanh,0.9,10.0,0.896912,5.721263e-02,0.683333
11,16,tanh,0.9,1000.0,0.821102,4.819328e-02,0.762500
11,16,tanh,1.0,10.0,1.046288,1.407482e-01,0.641667
11,16,tanh,1.0,1000.0,1.035046,1.577153e-01,0.629167
12,17,sigmoid,0.2,10.0,2.189825,1.248315e-03,0.378676
12,17,sigmoid,0.2,1000.0,0.837649,3.081360e-05,0.897059
12,17,sigmoid,0.4,10.0,1.902076,1.641493e-03,0.488971
12,17,sigmoid,0.4,1000.0,0.724662,3.911152e-05,0.908088
